,datetime,colB_mas_cercano
6360,44639.18804,44639.18813
6361,44639.188389999996,44639.18841
6362,44639.18874,44639.188819999996
6363,44639.18909,44639.18911
6364,44639.189439999995,44639.189510000004
6365,44639.18979,44639.1898
6366,44639.19014,44639.19021
6367,44639.19049,44639.1905
6368,44639.190839999996,44639.1909
6369,44639.19118,44639.19119
6370,44639.191530000004,44639.1916
6371,44639.19188,44639.191889999995
6372,44639.19223,44639.19229
6373,44639.19258,44639.19258
6374,44639.192930000005,44639.192989999996
6375,44639.19328,44639.19328
6376,44639.194639999994,44639.19466
6377,44639.194989999996,44639.19507
6378,44639.19534,44639.195360000005
6379,44639.19569,44639.19576
6380,44639.196039999995,44639.19605
6381,44639.19639,44639.19646
6382,44639.198280000004,44639.19833
6383,44639.19863,44639.19854
6384,44639.19898,44639.19903
6385,44639.19933,44639.199239999994
6386,44639.19967,44639.19972
6387,44639.20002,44639.19993
6388,44639.20037,44639.20042
6389,44639.20072,44639.20063
6390,44639.201069999996,44639.20111
6391,44639.20142,44639.20132
6392,44639.20177,44639.201810000006
6393,44639.20212,44639.20201
6394,44639.20247,44639.2025
6395,44639.20282,44639.202710000005
6396,44639.20317,44639.20319
6397,44639.20351,44639.2034
6398,44639.20386,44639.20389
6399,44639.20575,44639.205780000004
6400,44639.2061,44639.20618
6401,44639.20645,44639.20647
6402,44639.2068,44639.20688
6403,44639.20714,44639.207160000005
6404,44639.20749,44639.20757
6405,44639.207839999995,44639.20786
6406,44639.20819,44639.20826
6407,44639.20854,44639.20855
6408,44639.208889999994,44639.20896
6409,44639.20924,44639.20925
6410,44639.20959,44639.20965
6411,44639.20994,44639.20994
6412,44639.210289999995,44639.21035
6413,44639.21064,44639.21064
6414,44639.21098,44639.211039999995
6415,44639.21133,44639.21133
6416,44639.21168,44639.21174
6417,44639.21203,44639.21203
6418,44639.212380000004,44639.21243
6419,44639.21273,44639.212719999996
6420,44639.21308,44639.213130000004
6421,44639.21343,44639.213410000004
6422,44639.21378,44639.21382
6423,44639.21413,44639.21411
6424,44639.21448,44639.214510000005
6425,44639.21482,44639.2148
6426,44639.215169999996,44639.21521
6427,44639.21552,44639.2155
6428,44639.21587,44639.2159
6429,44639.21622,44639.21619
6430,44639.21657,44639.2166
6431,44639.21692,44639.216889999996
6432,44639.21727,44639.21729
6433,44639.217619999996,44639.217580000004
6434,44639.21797,44639.21799
6435,44639.21832,44639.21828
6436,44639.21867,44639.21868
6437,44639.21901,44639.21897
6438,44639.21936,44639.21938
6439,44639.220310000004,44639.22036
6440,44639.22065,44639.22058
6441,44639.221,44639.22105
6442,44639.22135,44639.22127
6443,44639.2217,44639.22175
6444,44639.222839999995,44639.22285
6445,44639.22318,44639.223139999995
6446,44639.22353,44639.22354
6447,44639.22388,44639.22383
6448,44639.22423,44639.224239999996
6449,44639.22458,44639.22453
6450,44639.224930000004,44639.224930000004
6451,44639.22528,44639.22522
6452,44639.22563,44639.22563
6453,44639.22598,44639.22591
6454,44639.22633,44639.22632
6455,44639.22668,44639.226610000005
6456,44639.22703,44639.22701
6457,44639.22737,44639.2273
6458,44639.227719999995,44639.22771
6459,44639.22807,44639.227999999996
6460,44639.22842,44639.2284
6461,44639.22877,44639.228689999996
6462,44639.22992,44639.22979
6463,44639.23027,44639.23028
6464,44639.23062,44639.230489999994
6465,44639.23097,44639.23097
6466,44639.23131,44639.23118
6467,44639.231660000005,44639.23167
6468,44639.23201,44639.23188
6469,44639.23236,44639.23236
6470,44639.232710000004,44639.23257
6471,44639.233060000006,44639.233060000006
6472,44639.23341,44639.23355
6473,44639.23376,44639.23377
6474,44639.234110000005,44639.23425
6475,44639.23446,44639.234469999996
6476,44639.23481,44639.234939999995
6477,44639.23515,44639.23514
6478,44639.2355,44639.23564
6479,44639.23585,44639.23586
6480,44639.2362,44639.23633
6481,44639.23655,44639.23655
6482,44639.2369,44639.237030000004
6483,44639.23725,44639.23725
6484,44639.2376,44639.23772
6485,44639.23795,44639.23794
6486,44639.2383,44639.238410000005
6487,44639.23865,44639.23863
6488,44639.23899,44639.23911
6489,44639.23934,44639.239330000004
6490,44639.239689999995,44639.2398
6491,44639.24004,44639.24002
6492,44639.24039,44639.2405
6493,44639.24074,44639.24072
6494,44639.241089999996,44639.24119
6495,44639.24144,44639.24141
6496,44639.24179,44639.24189
6497,44639.242139999995,44639.24211
6498,44639.24249,44639.24258
6499,44639.24383,44639.243969999996
6500,44639.24418,44639.24419
6501,44639.24453,44639.244660000004
6502,44639.24488,44639.24488
6503,44639.24523,44639.24536
6504,44639.24558,44639.24558
6505,44639.245930000005,44639.24605
6506,44639.24628,44639.246269999996
6507,44639.24837,44639.248360000005
6508,44639.248719999996,44639.248830000004
6509,44639.24907,44639.24905
6510,44639.24942,44639.24953
6511,44639.24977,44639.24975
6512,44639.97645,44639.97632
6513,44639.99343,44639.993480000005
6514,44639.99498,44639.9949
6515,44639.99533,44639.99545
6516,44639.99568,44639.995760000005
6517,44639.99603,44639.99615
6518,44639.996380000004,44639.99646
6519,44639.99673,44639.99684
6520,44639.99708,44639.99715
6521,44639.99742,44639.99753
6522,44639.99777,44639.99785
6523,44639.99812,44639.998230000005
6524,44639.99847,44639.99854
6525,44639.99882,44639.99892
6526,44639.999169999996,44639.99924
6527,44640.0022,44640.002010000004
6528,44640.00255,44640.00253
6529,44640.0029,44640.00271
6530,44640.0036,44640.00378
6531,44640.003939999995,44640.003919999996
6532,44640.00429,44640.0041
6533,44640.00464,44640.00462
6534,44640.004989999994,44640.00517
6535,44640.005339999996,44640.00531
6536,44640.00569,44640.00587
6537,44640.00604,44640.006010000005
6538,44640.006389999995,44640.00656
6539,44640.00674,44640.0067
6540,44640.00709,44640.007260000006
6541,44640.00744,44640.0074
6542,44640.00778,44640.00795
6543,44640.00813,44640.008089999996
6544,44640.008480000004,44640.00865
6545,44640.00883,44640.008780000004
6546,44640.00918,44640.00934
6547,44640.00953,44640.00948
6548,44640.00988,44640.01003
6549,44640.01023,44640.01017
6550,44640.01058,44640.01073
6551,44640.010930000004,44640.01087
6552,44640.01128,44640.011419999995
6553,44640.01162,44640.01156
6554,44640.01197,44640.01212
6555,44640.01232,44640.01226
6556,44640.01267,44640.01281
6557,44640.01302,44640.01295
6558,44640.01337,44640.013510000004
6559,44640.013719999995,44640.01365
6560,44640.01407,44640.0142
6561,44640.01442,44640.014339999994
6562,44640.01477,44640.0149
6563,44640.01512,44640.01503
6564,44640.01547,44640.015589999995
6565,44640.015810000004,44640.01573
6566,44640.01616,44640.01628
6567,44640.01651,44640.01642
6568,44640.01686,44640.01698
6569,44640.017210000005,44640.017289999996
6570,44640.01756,44640.01767
6571,44640.01791,44640.01799
6572,44640.018260000004,44640.01837
6573,44640.01861,44640.01868
6574,44640.01896,44640.019060000006
6575,44640.01931,44640.01938
