datetime,p2,wind
44637.28125,0.73500,1.4
44637.284719999996,0.80600,1.7
44637.28819,0.74800,1.2
44637.29167,0.74400,1.1
44637.30556,0.70625,1.0
44637.309030000004,0.60143,1.4
44637.3125,0.64300,1.2
44637.315969999996,0.81833,1.7
44637.31944,1.18900,1.4
44637.32917,0.89375,1.1
44637.33264,0.73100,1.0
44637.336110000004,0.66667,0.8
44637.33958,1.16857,0.5
44637.34306,1.67300,1.1
44637.34653,1.68500,1.5
44637.35,0.99125,1.3
44637.35347,0.60143,1.5
44637.35694,0.65556,1.4
44637.36042,0.65200,2.0
44637.36389,0.50000,1.3
44637.367360000004,0.62167,1.6
44637.375,0.76889,1.8
44637.38542,0.81080,0.9
44637.388889999995,0.76700,1.5
44637.392360000005,0.70900,1.1
44637.39583,0.64400,1.6
44637.39931,0.71429,1.3
44637.40208,0.55625,1.1
44637.40556,0.57200,1.6
44637.40903,0.62900,1.3
44637.4125,0.68833,1.8
44637.42292,0.86000,2.2
44637.73542,4.57667,6.8
44637.73889,3.31667,7.2
44637.982639999995,1.33333,3.4
44638.048610000005,1.15667,3.6
44638.05208,1.14714,4.5
44638.05556,1.19250,4.1
44638.059030000004,1.39800,4.7
44638.0625,1.19750,4.6
44638.07292,1.46552,5.1
44638.08333,1.39789,5.0
44638.08681,1.22000,4.9
44638.097219999996,1.17000,6.1
44638.10069,1.05125,5.9
44638.10417,1.09222,4.9
44638.107639999995,1.25500,5.2
44638.111110000005,0.84600,5.7
44638.11458,0.92200,5.4
44638.125,1.32200,4.9
44638.128469999996,1.56400,4.5
44638.13194,1.55100,4.3
44638.13542,1.53400,4.7
44638.138889999995,1.35500,4.6
44638.142360000005,1.21500,4.5
44638.14583,1.42300,3.9
44638.14931,1.35222,3.5
44638.152780000004,1.63714,3.4
44638.15625,1.62500,3.8
44638.159719999996,1.71875,3.3
44638.16319,1.56857,3.0
44638.16667,1.50800,3.1
44638.170139999995,2.26571,3.2
44638.173610000005,3.53667,2.6
44638.17708,2.03714,3.4
44638.18056,1.94200,3.3
44638.184030000004,1.95700,2.7
44638.19375,1.46536,4.5
44638.19722,1.51200,5.3
44638.20069,1.65143,5.8
44638.20417,1.64700,5.9
44638.20764,1.28100,6.3
44638.211110000004,1.37700,6.2
44638.21458,1.36250,6.7
44638.21806,1.46400,7.4
44638.22153,1.36900,6.7
44638.225,1.72667,8.1
44638.22847,1.76429,8.0
44638.23194,2.13714,7.5
44638.23542,2.46900,8.0
44638.23889,2.64600,7.9
44638.242360000004,1.98800,8.5
44638.24583,1.44200,8.4
44638.24931,1.37000,8.8
44638.25278,1.09556,9.1
44638.26319,0.91880,8.9
44638.26667,2.54429,8.7
44638.27014,0.95375,8.4
44638.277780000004,1.71111,7.4
44638.28125,1.88200,8.4
44638.284719999996,1.74800,8.2
44638.28819,1.23667,7.7
44638.29167,1.18667,7.6
44638.295139999995,1.03000,6.2
44638.298610000005,1.26000,6.3
44638.30208,1.23500,6.2
44638.30556,1.13167,6.0
44638.309030000004,1.18333,6.4
44638.3125,1.88500,6.0
44638.315969999996,0.87500,6.2
44638.31944,0.81833,6.0
44638.32292,0.68167,5.6
44638.326389999995,0.68500,5.8
44638.329860000005,0.61667,5.4
44638.33333,2.19500,5.5
44638.33681,1.91667,5.8
44638.340280000004,0.88900,6.2
44638.34375,1.01167,6.0
44638.347219999996,1.15400,6.5
44638.35069,1.04111,6.0
44638.35417,1.10500,6.1
44638.357639999995,1.08900,6.2
44638.361110000005,1.12429,7.2
44638.36458,1.13000,8.2
44638.36806,0.99667,8.6
44638.371530000004,0.92200,6.3
44638.375,0.74000,6.5
44638.378469999996,2.12700,6.1
44638.388889999995,1.69937,5.8
44638.392360000005,1.10333,6.3
44638.39583,0.81143,5.8
44638.39931,0.67250,6.1
44638.402780000004,0.64300,6.2
44638.40625,0.81667,6.5
44638.409719999996,1.33000,6.0
44638.423610000005,1.28000,5.3
44638.53125,7.89000,8.0
44638.534719999996,7.46250,8.2
44638.58333,8.12000,9.4
44638.58681,7.97667,9.1
44638.590280000004,7.80667,8.1
44638.628469999996,8.15000,9.8
44638.63194,8.05000,9.2
44638.64167,8.41500,8.4
44638.97569,1.90500,6.1
44639.02708,2.11250,8.6
44639.03056,0.81000,8.2
44639.03403,0.68167,8.3
44639.0375,0.78714,8.6
44639.04097,0.87000,8.8
44639.04444,2.13000,8.9
44639.054860000004,1.70360,9.7
44639.06528,1.50909,9.0
44639.06875,0.76100,9.3
44639.07222,0.68600,9.6
44639.07569,0.71200,9.5
44639.07917,0.77500,10.1
44639.08264,0.85571,10.0
44639.086110000004,0.77400,8.8
44639.09653,0.60920,10.0
44639.1,0.53500,9.1
44639.11389,0.78273,8.8
